restaurant_name,price_range_per_head,good_ratings,bad_ratings,full_address,district,cuisine,dish,written_reviews,bookmarks
Opa Mediterranean Bar and Bistro,$201-400,447,15,"Shop 1-2, G/F, Union Mansion, 33-35 Chatham Road South, Tsim Sha Tsui",Tsim Sha Tsui,Mediterranean,Western,486,12500
Seansin Seafood Experts 尚鮮海鮮料理,$201-400,624,4,"1/F Gofuku Tower,62-64 Woosung Street,Jordan, Jordan",Jordan,Hong Kong Style,Hot Pot,660,11500
Big Boil's Club 大滾友火鍋,$201-400,462,13,"Shop G4-G5, G/F, Ho Shun Lee Building Block 1, 9 Fung Yau Street South, Yuen Long",Yuen Long,Hong Kong Style,Hot Pot,517,15100
Lantern Seafood Restaurant 神燈海鮮酒家,$101-200,394,17,"G/F & 1/F, Place 18, 14-20 Cheung Lok Street, Jordan",Jordan,Guangdong,Seafood Restaurant,485,16900
INN - I’m Not Nothing,$101-200,433,11,"Shop 203, 2/F, Elite Industrial Centre, 883 Cheung Sha Wan Road, Lai Chi Kok",Lai Chi Kok,International,Dessert,500,18400
Hungry Monkey (金朝陽中心二期),$201-400,374,14,"Shop B, G/F, Midtown Soundwill Plaza II, 1 Tang Lung Street, Causeway Bay",Causeway Bay,Japanese,Teppanyaki,418,18800
野川拉麵の深燒食堂,$51-100,511,14,"Shop B, G/F,Wing Fung Building, 40-48 Yau San Street, Yuen Long",Yuen Long,Japanese,Ramen,581,9300
The BASE nature,$51-100,556,19,"Shop 70, UG/F, City Walk 1, 1 Yeung Uk Road, Tsuen Wan",Tsuen Wan,International,Hamburger,692,28700
Kane Tsuru Ramen (Min Street) 金鶴拉麵 (閩街),$101-200,744,13,"G/F, 3 Min Street, Jordan",Jordan,Japanese,Ramen,875,25300
BaliTown 峇里堂,$51-100,290,12,"3/F, The Nate, 176 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Indonesian,Coffee Shop,351,20600
Green Waffle Diner (希慎廣場),$101-200,610,21,"Shop 1303, 13/G, Hysan Place, 500 Hennessy Road, Causeway Bay",Causeway Bay,Western,Dessert,775,26300
HeSheEat (綠楊坊),$51-100,634,19,"Shop G15-16, G/F, Luk Yeung Galleria, 22-66 Wai Tsuen Road, Tsuen Wan",Tsuen Wan,Western,Dessert,756,6900
Dim Sum Here 點心到,$51-100,369,2,"Shop 6-8, G/F, Wah Chi Mansion, 286-298 Temple Street, Jordan",Jordan,Guangdong,Dim Sum,433,14500
Chill and Grill,$201-400,337,9,"G/F, 57 Cadogan Street, Western District",Western District,Western,All Day Breakfast,399,20100
Chapter 3 Steak Bar & Restaurant,$101-200,572,26,"Shop J, G/F, 232-234 Fa Yuen Street, Prince Edward",Prince Edward,Western,,633,5700
Chatterbox Café,$101-200,395,31,"Shop B110, B1/F, K11 Musea, Victoria Dockside, 18 Salisbury Road, Tsim Sha Tsui",Tsim Sha Tsui,Singaporean,Food Wise Eateries,579,15300
The Market,$401-800,540,63,"2/F, Hotel ICON, 17 Science Museum Road, Tsim Sha Tsui",Tsim Sha Tsui,International,Seafood,847,84200
Waki Shokudo (Wong Tai Sin Shopping Centre) 和氣食堂 (黃大仙中心),$101-200,930,15,"Shop G12A, G/F, Temple Mall South, 103 Ching Tak Street, Wong Tai Sin",Wong Tai Sin,Japanese,Sushi/Sashimi,1070,13200
Boy n Burger,$51-100,365,10,"Shop 3, G/F, 208 Johnston, 206-212 Johnston Road, Wan Chai",Wan Chai,American,Vegetarian,415,15000
Kani Kei 蟹慶,$201-400,440,12,"B/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",Causeway Bay,Japanese,Seafood,486,23100
雪山冰廳,$51-100,577,23,"G/F, 62D Castle Peak Road, Sham Shui Po",Sham Shui Po,Hong Kong Style,Tea Restaurant,717,17500
Ladies Street Sik Fan Co. 女人街食飯公司,$101-200,542,19,"Shop B, 1/F, Witty Commercial Building, 1A-1L Tung Choi Street, Mong Kok",Mong Kok,Hong Kong Style,Stir-Fry,694,34800
Grill ขุนทอง (和安里),$101-200,799,4,"G/F, 1 Wo On Lane, Central",Central,Thai,Skewer,858,22400
Nara Thai Cuisine (新城市廣場),$101-200,426,53,"Shop 507, 5/F, New Town Plaza, 18 Sha Tin Centre Street, Sha Tin",Sha Tin,Thai,,639,22600
Fast Gourmet (Shin Hing Street) 享慢煮意 (善慶街),$101-200,416,37,"G/F, 9 Shin Hing Street, Central",Central,French,Salad,550,32400
HEXA 六公館,$401-800,453,42,"Shop OTE 101, G/F, Ocean Terminal, Harbour City, 3-27 Canton Road, Tsim Sha Tsui",Tsim Sha Tsui,Guangdong,Stir-Fry,702,54400
Master Beef (Crocodile Center) 牛大人台灣火鍋吃到飽 (鱷魚恤中心),$101-200,320,6,"5/F, Crocodile Center, 79 Hoi Yuen Road, Kwun Tong",Kwun Tong,Taiwan,Hot Pot,374,28700
Potluck Eatery,$201-400,517,5,"G/F, Golden Gate Commercial Building, 136-138 Austin Road, Tsim Sha Tsui",Tsim Sha Tsui,Western,Pizza,574,37500
Gyu Sou Ichuya 牛惣居酎屋,$401-800,473,13,"22/F, Circle Tower, 28 Tang Lung Street, Causeway Bay",Causeway Bay,Japanese,Izakaya,512,16300
二鍋頭 (福苑),$101-200,550,3,"2/F, Fortune Crest, 138 Sai Yeung Choi Street South, Mong Kok",Mong Kok,Hong Kong Style,Hot Pot,586,17700
DONYIN DINER 丼燃食堂,$51-100,367,6,"Shop 6, G/F, Hung Wai Building, 3-5 Fa Yuen Street, Mong Kok",Mong Kok,Japanese,Sushi/Sashimi,418,12800
Le Viet,$101-200,715,28,"Shop L402, 4/F, The ONE, 100 Nathan Road, Tsim Sha Tsui",Tsim Sha Tsui,Vietnamese,Skewer,896,30600
Comfy by Chef's Stage (東廣場),$101-200,322,3,"Shop 25-31&59, G/F, E Plaza, 7 Shing Yip Street, Kwun Tong",Kwun Tong,Western,Hamburger,364,11500
Flagship,$201-400,332,5,"G/F, 35 Ship Street, Wan Chai",Wan Chai,Western,Steak House,358,12000
Tian Tian Hainanese Chicken Rice (ELEMENTS) 天天海南雞飯 (ELEMENTS圓方),$101-200,407,41,"Shop 1050A, 1/F, Water Zone, ELEMENTS, 1 Austin Road West, Tsim Sha Tsui",Tsim Sha Tsui,Singaporean,,535,9400
The Optimist,$201-400,242,16,"G/F-2/F, 239 Hennessy Road, Wan Chai",Wan Chai,Spanish,Wine,386,74000
